
SWJI   5.80    1.000   P
PWJI   7.10    1.000   P
SWJI   9.40    1.000   S
PWJI   11.40    1.000   S
PCJI   11.70    1.000   P
PCJI   19.20    1.000   S
GMJI   32.80    1.000   P

PCJI   13.80    1.000   P
PWJI   15.80    1.000   P
SWJI   20.50    1.000   P
PCJI   23.60    1.000   S
PWJI   27.30    1.000   S
GMJI   31.60    1.000   P
SWJI   35.50    1.000   S

GMJI   27.20    1.000   P
PWJI   33.30    1.000   P
PCJI   37.90    1.000   P
SWJI   38.40    1.000   P
GRJI   45.80    1.000   P
GMJI   47.80    1.000   S
PWJI   57.50    1.000   S

PWJI   20.40    1.000   P
PCJI   21.10    1.000   P
SWJI   26.20    1.000   P
GMJI   30.70    1.000   P
PWJI   37.30    1.000   S
PCJI   38.80    1.000   S
SWJI   45.50    1.000   S
GMJI   54.80    1.000   S

PWJI   18.60    1.000   P
SWJI   21.20    1.000   P
GMJI   22.80    1.000   P
PCJI   23.20    1.000   P
GRJI   28.30    1.000   P
PWJI   29.80    1.000   S
SWJI   37.50    1.000   S
PCJI   40.80    1.000   S

PCJI   15.10    1.000   P
PWJI   18.10    1.000   P
SWJI   23.00    1.000   P
PCJI   27.30    1.000   S
PWJI   34.00    1.000   S
SWJI   39.40    1.000   S

PCJI   14.60    1.000   P
PWJI   18.70    1.000   P
SWJI   22.70    1.000   P
PCJI   25.40    1.000   S
PWJI   31.50    1.000   S
SWJI   41.80    1.000   S

PCJI   15.60    1.000   P
PWJI   22.40    1.000   P
SWJI   24.50    1.000   P
PCJI   27.80    1.000   S
TBJI   34.90    1.000   P
UWJI   37.00    1.000   P
PWJI   37.10    1.000   S
GRJI   38.80    1.000   P
GMJI   41.30    1.000   P
SWJI   42.80    1.000   S
BWJI   52.40    1.000   P
TBJI   62.60    1.000   S
UWJI   66.50    1.000   S
GRJI   68.50    1.000   S
GMJI   73.10    1.000   S
BWJI   92.70    1.000   S

PWJI   14.00    1.000   P
PCJI   15.70    1.000   P
SWJI   17.90    1.000   P
PWJI   24.10    1.000   S
GMJI   27.50    1.000   P
SWJI   31.10    1.000   S
GMJI   48.30    1.000   S

PCJI   10.30    1.000   P
PWJI   10.30    1.000   P
SWJI   14.90    1.000   P
PCJI   18.00    1.000   S
PWJI   18.10    1.000   S
SWJI   26.40    1.000   S
GMJI   30.50    1.000   P

